"relative_path","name","extension","size_bytes","sha256"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-agent-skills-data-driven-analysis.html","arxiv-agent-skills-data-driven-analysis.html",".html","46228","c8d0034c7d517029f0a4591921aa642be2b1a4153058b5298b7762e4b222f950"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-agent-skills-data-driven-analysis.html.meta.md","arxiv-agent-skills-data-driven-analysis.html.meta.md",".md","539","68aaa5ebe0e1faf4f78b70f8cd89365c87ce30ec22b51fad359e7c47bed4ed98"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-evoskills.html","arxiv-evoskills.html",".html","47960","5faa70d64ecb0b264be2ab453b87e015f36b32d93c2c8070adf9c39363de234c"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-evoskills.html.meta.md","arxiv-evoskills.html.meta.md",".md","532","04f48e7948a7cf5a3e0c492f6ea1e4ef28b134b9f7bbbd053f77d0f8db60d70b"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-skill-md-semantic-supply-chain.html","arxiv-skill-md-semantic-supply-chain.html",".html","46499","3a22cf5178caf92fcda2b0f978fbb6cb82f49ec99179cc51cfa57be610ca784a"
"apex-meta/kb/claude-skill-design/sources/curated/academic/arxiv-skill-md-semantic-supply-chain.html.meta.md","arxiv-skill-md-semantic-supply-chain.html.meta.md",".md","552","28b5e43f5188800f5c353fcfabf3ffc2079606df4671b9354851f09e3811d57e"
"apex-meta/kb/claude-skill-design/sources/curated/logs/acquisition-log.md","acquisition-log.md",".md","4807","b0d4814efaec3a783f9dd21d0fc62e125856238e48ac6e18ac1d732ec080b433"
"apex-meta/kb/claude-skill-design/sources/curated/manifests/source-ledger.json","source-ledger.json",".json","8334","88e6a8c412f79982fabebea67869705c678ac0e90747b3e7945bde8b883564fd"
"apex-meta/kb/claude-skill-design/sources/curated/manifests/source-ledger.md","source-ledger.md",".md","4241","d9c4cb447576ded883ce910041af408c6200ab2d8247fd102c684176ec6eedc8"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/agentskills-home.html","agentskills-home.html",".html","268692","71d5c62297048e8c09413256d9260d0ff1ebfbd754209718d1921a2b534ed240"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/agentskills-home.html.meta.md","agentskills-home.html.meta.md",".md","412","5d51fb4ce709d0308f5bc30686ef1d9e71cadba133ff976152477632e9c99095"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/agentskills-specification.html","agentskills-specification.html",".html","453554","eeaedc9913540efdf79b00a4650984b904d98e75be7b65236a4abf9878ecc5a4"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/agentskills-specification.html.meta.md","agentskills-specification.html.meta.md",".md","469","4a268fc5a6acb88a1bc1f0d61450660edf1cb9f905f392ea53898dcc1e5e9046"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-agent-skills-overview.html","anthropic-agent-skills-overview.html",".html","883250","15114f7674b093c388d3550db3504bdf264964b07ecba013ad169962750d45af"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-agent-skills-overview.html.meta.md","anthropic-agent-skills-overview.html.meta.md",".md","544","b88fe0d7508169ba60a4a727e85014fc24c4e6a35a33581e51cec836c8d8b8a8"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-engineering-agent-skills.html","anthropic-engineering-agent-skills.html",".html","146692","d3ad6498e3db9976ba1920e9d20eada2efda6357ddbb0119417c99b14d5778cc"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-engineering-agent-skills.html.meta.md","anthropic-engineering-agent-skills.html.meta.md",".md","646","fda7e193d704d8fe119af66655f817a285c00da953e99063d221be27ee0afc74"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-skill-authoring-best-practices.html","anthropic-skill-authoring-best-practices.html",".html","1289168","e5f9c4cabf043e464a2f215a89d4199c8e6017adad86d47cce47e2068cc96355"
"apex-meta/kb/claude-skill-design/sources/curated/official-docs/anthropic-skill-authoring-best-practices.html.meta.md","anthropic-skill-authoring-best-practices.html.meta.md",".md","604","7877263597f068ee9f9d31e01bd35d7f9d3e676da96d76f4f673a2b6e789810e"
