"report_file","category","source_path","source_hash","source_storage_mode","analysis_path","phase_2_allowed","root4"
"preflight-00-project-bootstrap.json","legacy-prompt-workflow-research","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/00_PROJECT_BOOTSTRAP.md","648310d80337d6c7528d15f34f516a093a76f3152ff3f57f3bb5a3a7226491e2","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/00-project-bootstrap.analysis.md","False","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices"
"preflight-00-system-bootstrap.json","legacy-prompt-workflow-research","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/00_SYSTEM_BOOTSTRAP.md","3d990fe88f84b456cacb679f39a3f7d4a9c3135ea66cf19cfb0746094b337a60","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/00-system-bootstrap.analysis.md","False","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices"
"preflight-001.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/001.md","8d8299a1b11cc7778ff06e4cd2c9f6c787374764de9f8ae638e98b3f2865f9f9","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/001.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/001.md"
"preflight-002.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/002.md","d7c86f75c96fd1452bcf0ee07b290b77a383a4668af9d3c54c357c75a121ee11","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/002.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/002.md"
"preflight-003.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/003.md","20621e6d42f718b5a0b53aab896bf21ec26cc710842d7934762da571e0997dce","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/003.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/003.md"
"preflight-004.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/004.md","96ff5fe744ffba4b9b82c56a4a6afb6ce7ddfc5484124322aef69d0d4ae4ad36","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/004.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/004.md"
"preflight-005.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/005.md","611b4a62a6a8f1850cafa2af171b9ac61a89f894191d3de6014c481e114f20a4","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/005.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/005.md"
"preflight-006.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/006.md","1c67f30bc8761d0ba339d98a30309f8f837ce2176ada4a4e54453637875f8e89","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/006.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/006.md"
"preflight-007.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/007.md","2926ba4019423f5255e53803f13a291832b40a7c3f8598cd861ebde9d5ac4d8d","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/007.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/007.md"
"preflight-008.json","therapy-narm-existing-kb","apex-meta/epics/narm-support-knowledgebase/008.md","947abfb21857a9ec103923d2b55e64e0e1d07b31ab43866f562cbac3eefaabaa","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/008.analysis.md","False","apex-meta/epics/narm-support-knowledgebase/008.md"
"preflight-01-api-call-structure-2.json","legacy-prompt-workflow-research","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices/NewResearchBecauseOfConstantFailure/NewGuardrailsAllegeldyIncorporated/01_API_CALL_STRUCTURE (2).md","6878f88cb1fc0298c4b94ce71a1b64589f6936d1a85de084bface99af269f6d7","pointer_only","apex-meta/kb/skill-design-best-practices/ingest-analysis/01-api-call-structure-2.analysis.md","False","source-knowledge/old_openclaw-KB&Agents/special_ops__prompts_workflows/appendices"
